Date,Open,High,Low,Close,Volume
2024-05-14,103.22,104.32,103.16,104.17,9825200
2024-05-15,104.82,106.55,104.75,106.51,14308600
2024-05-16,106.58,106.91,106.10,106.14,12066600
2024-05-17,106.39,106.46,105.33,105.91,7616000
2024-05-20,106.01,107.36,105.92,107.15,6276800
2024-05-21,106.75,107.50,106.56,107.33,6140400
2024-05-22,107.64,107.96,106.93,107.57,11783000
2024-05-23,108.80,108.81,106.36,106.69,9400400
2024-05-24,106.96,107.82,106.61,107.60,5906400
2024-05-28,108.21,108.29,107.38,108.05,8786400
2024-05-29,106.91,107.88,106.91,107.36,8569000
2024-05-30,106.17,106.33,104.59,104.92,10450600
2024-05-31,105.22,105.25,102.76,105.08,12081000
2024-06-03,105.89,105.98,104.08,105.35,9628000
2024-06-04,105.29,105.74,104.75,105.57,6405400
2024-06-05,106.40,107.91,106.23,107.91,8788800
2024-06-06,107.97,108.04,107.26,107.55,7057600
2024-06-07,107.67,108.26,107.27,107.80,6398600
2024-06-10,107.43,108.36,107.36,108.07,6734800
2024-06-11,107.80,110.11,107.75,110.08,12719200
2024-06-12,111.18,113.65,110.97,112.52,17821200
2024-06-13,113.57,113.88,112.72,113.41,12693600
2024-06-14,113.25,113.90,113.18,113.83,7864600
2024-06-17,114.11,115.96,113.72,115.56,11602600
2024-06-18,115.68,116.08,115.25,115.71,8677800
2024-06-20,116.22,116.29,114.02,114.40,13243000
2024-06-21,114.43,114.88,113.68,114.21,13560200
2024-06-24,112.82,113.33,111.18,111.21,13748600
2024-06-25,112.03,113.31,111.39,113.25,9126200
2024-06-26,113.08,113.65,112.24,113.12,9459600
2024-06-27,112.90,113.74,112.76,113.18,7923600
2024-06-28,113.57,115.19,112.96,113.11,12488200
2024-07-01,113.29,114.16,111.64,113.97,9281600
2024-07-02,112.98,114.55,112.98,114.54,7076600
2024-07-03,114.38,116.14,114.28,116.08,6249200
2024-07-05,116.21,116.96,115.74,116.44,6671800
2024-07-08,116.82,117.57,116.61,117.24,7671000
2024-07-09,117.83,118.11,116.47,117.14,8678600
2024-07-10,117.94,118.93,117.29,118.84,8749400
2024-07-11,119.02,119.07,115.53,115.86,14106000
2024-07-12,116.18,118.14,115.78,116.90,9767600
2024-07-15,117.50,118.26,116.44,117.11,8628000
2024-07-16,117.39,117.44,115.89,116.72,7652200
2024-07-17,114.05,114.17,112.12,112.18,12440400
2024-07-18,113.41,113.43,110.78,112.19,10837200
2024-07-19,111.60,112.28,110.19,110.43,8472800
2024-07-22,111.89,113.18,111.42,113.05,10601600
2024-07-23,112.58,113.61,112.45,112.60,5530800
2024-07-24,111.13,111.48,107.68,107.94,14300800
2024-07-25,107.82,109.43,105.23,106.79,21158000
2024-07-26,108.22,109.00,107.22,108.14,11697800
